keyword,assay_chembl_id,assay_description,molecule_chembl_id,smiles,standard_type,standard_value,standard_units,standard_relation,activity_comment,pchembl_value
RBL-2H3,CHEMBL769881,Inhibition of IgE receptor/FcERI mediated leukotriene release from rat RBL-2H3 cells,CHEMBL144282,C[C@@H](/N=C(\S)Nc1ccccn1)c1cccc2ccccc12,IC50,100000.0,nM,>,,
RBL-2H3,CHEMBL769881,Inhibition of IgE receptor/FcERI mediated leukotriene release from rat RBL-2H3 cells,CHEMBL421942,COc1cc2ncnc(Nc3cc(Br)c(O)c(Br)c3)c2cc1OC,IC50,6800.0,nM,=,,5.17
RBL-2H3,CHEMBL769881,Inhibition of IgE receptor/FcERI mediated leukotriene release from rat RBL-2H3 cells,CHEMBL116350,S=C(NCCc1c[nH]c2ccccc12)Nc1ccc(Br)cn1,IC50,6100.0,nM,=,,5.21
RBL-2H3,CHEMBL769881,Inhibition of IgE receptor/FcERI mediated leukotriene release from rat RBL-2H3 cells,CHEMBL423564,Cc1cccc2sc(N/C(S)=N/[C@@H](C)c3cccc4ccccc34)nc12,IC50,100000.0,nM,>,,
RBL-2H3,CHEMBL769881,Inhibition of IgE receptor/FcERI mediated leukotriene release from rat RBL-2H3 cells,CHEMBL434707,CCOC(=O)Cc1csc(/N=C(\S)N[C@@H](C)c2cccc3ccccc23)n1,IC50,9.0,nM,=,,8.05
RBL-2H3,CHEMBL769881,Inhibition of IgE receptor/FcERI mediated leukotriene release from rat RBL-2H3 cells,CHEMBL144198,C[C@H](/N=C(\S)Nc1nccs1)c1cccc2ccccc12,IC50,100000.0,nM,>,,
RBL-2H3,CHEMBL769881,Inhibition of IgE receptor/FcERI mediated leukotriene release from rat RBL-2H3 cells,CHEMBL342506,Oc1ccc(CC/N=C(\S)Nc2ccccn2)cc1,IC50,8500.0,nM,=,,5.07
RBL-2H3,CHEMBL769881,Inhibition of IgE receptor/FcERI mediated leukotriene release from rat RBL-2H3 cells,CHEMBL144025,Cc1ccc(N/C(S)=N/[C@H](C)c2cccc3ccccc23)nc1,IC50,5.0,nM,=,,8.30
RBL-2H3,CHEMBL769881,Inhibition of IgE receptor/FcERI mediated leukotriene release from rat RBL-2H3 cells,CHEMBL144480,Cc1ccc(N/C(S)=N/[C@@H](C)c2cccc3ccccc23)nc1,IC50,100000.0,nM,>,,
RBL-2H3,CHEMBL769881,Inhibition of IgE receptor/FcERI mediated leukotriene release from rat RBL-2H3 cells,CHEMBL143393,CCOC(=O)Cc1csc(/N=C(\S)N[C@H](C)c2cccc3ccccc23)n1,IC50,2.0,nM,=,,8.70
RBL-2H3,CHEMBL769881,Inhibition of IgE receptor/FcERI mediated leukotriene release from rat RBL-2H3 cells,CHEMBL357376,Cc1csc(N/C(S)=N/[C@H](C)c2cccc3ccccc23)n1,IC50,25900.0,nM,=,,4.59
RBL-2H3,CHEMBL769882,The compound was tested for inhibition LTC4 synthesis in RBL-2H3 Cells,CHEMBL84750,c1ccc2nc(COc3cccc4ccccc34)ccc2c1,Inhibition,450.0,nM,=,,
RBL-2H3,CHEMBL871758,The compound was tested for inhibition of translocation in SAR in RBL-2H3 cells,CHEMBL154,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,Inhibition,10000.0,nM,>,,
RBL-2H3,CHEMBL871758,The compound was tested for inhibition of translocation in SAR in RBL-2H3 cells,CHEMBL287012,COC(=O)CCC(=O)N(O)c1cccc(OCc2ccc3ccccc3n2)c1,Inhibition,750.0,nM,=,,
RBL-2H3,CHEMBL907005,Inhibition of DNP7-BSA antigen-induced TNFalpha release in rat RBL-2H3 cells,CHEMBL219810,Oc1ccc(-c2c(O)c(O)c3c(oc4cc(O)c(O)cc43)c2O)cc1,IC50,3500.0,nM,=,,5.46
RBL-2H3,CHEMBL907005,Inhibition of DNP7-BSA antigen-induced TNFalpha release in rat RBL-2H3 cells,CHEMBL216481,O=C(Cc1ccccc1)Oc1c(-c2ccc(O)cc2)c(O)c2oc3cc(O)c(O)cc3c2c1OC(=O)Cc1ccccc1,IC50,0.02,nM,=,,10.70
RBL-2H3,CHEMBL907005,Inhibition of DNP7-BSA antigen-induced TNFalpha release in rat RBL-2H3 cells,CHEMBL384074,O=C(Cc1ccccc1)Oc1c(-c2ccc(O)cc2)c(OC(=O)Cc2ccccc2)c2oc3cc(O)c(O)cc3c2c1OC(=O)Cc1ccccc1,IC50,5000.0,nM,=,,5.30
RBL-2H3,CHEMBL907005,Inhibition of DNP7-BSA antigen-induced TNFalpha release in rat RBL-2H3 cells,CHEMBL269732,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,IC50,0.25,nM,=,,9.60
BMMC,CHEMBL924621,Inhibition of antigen-induced histamine release in wild-type BMMCs at 1 uM after 30 mins,CHEMBL5416410,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1.O,Activity,,,,Active,
BMMC,CHEMBL924622,Inhibition of antigen-induced histamine release in Tec-deficient BMMC at 1 uM after 30 mins,CHEMBL5416410,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1.O,Activity,,,,Active,
BMMC,CHEMBL986309,Blockade of histamine-induced morphological changes in BALB/c mouse BMMC by flow cytometry,CHEMBL129198,CN1CCN(C(=O)c2cc3cc(Cl)ccc3[nH]2)CC1,Activity,,,,Active,
BMMC,CHEMBL986309,Blockade of histamine-induced morphological changes in BALB/c mouse BMMC by flow cytometry,CHEMBL494678,CN1CCN(c2cc(-c3ccc(C#N)cc3)nc(N)n2)CC1,Activity,,,,Active,
BMMC,CHEMBL986309,Blockade of histamine-induced morphological changes in BALB/c mouse BMMC by flow cytometry,CHEMBL492231,Nc1nc2c(c(N3CCNCC3)n1)CCCCC2c1ccccc1,Activity,,,,Active,
BMMC,CHEMBL986309,Blockade of histamine-induced morphological changes in BALB/c mouse BMMC by flow cytometry,CHEMBL523225,Nc1nc2c(c(N3CCNCC3)n1)CCCc1ccc(F)cc1-2,Activity,,,,Active,
BMMC,CHEMBL986309,Blockade of histamine-induced morphological changes in BALB/c mouse BMMC by flow cytometry,CHEMBL522673,CNC1CN(c2nc(N)nc3c2CCCc2ccccc2-3)C1,Activity,,,,Active,
BMMC,CHEMBL986309,Blockade of histamine-induced morphological changes in BALB/c mouse BMMC by flow cytometry,CHEMBL521996,CN[C@@H]1CCN(c2nc(N)nc3c2CCCc2ccccc2-3)C1,Activity,,,,Active,
BMMC,CHEMBL986309,Blockade of histamine-induced morphological changes in BALB/c mouse BMMC by flow cytometry,CHEMBL502347,Nc1nc2c(c(N3CC[C@@H](N)C3)n1)CCCc1ccccc1-2,Activity,,,,Active,
BMMC,CHEMBL986309,Blockade of histamine-induced morphological changes in BALB/c mouse BMMC by flow cytometry,CHEMBL509540,Nc1nc2c(c(N3CCNCC3)n1)CCCc1ccccc1-2,Activity,,,,Active,
BMMC,CHEMBL986309,Blockade of histamine-induced morphological changes in BALB/c mouse BMMC by flow cytometry,CHEMBL494683,CN[C@@H]1CCN(c2nc(N)nc3c2CCCCCc2ccccc2-3)C1,Activity,,,,Not Active,
BMMC,CHEMBL986309,Blockade of histamine-induced morphological changes in BALB/c mouse BMMC by flow cytometry,CHEMBL522989,CN[C@@H]1CCN(c2nc(N)nc3c2CCCCc2ccccc2-3)C1,Activity,,,,Not Active,
BMMC,CHEMBL1028295,Inhibition of histamine-induced shape change in BALB/c mouse BMMC by gated autofluorescence forward scatter,CHEMBL129198,CN1CCN(C(=O)c2cc3cc(Cl)ccc3[nH]2)CC1,pKb,6.23,,=,,
BMMC,CHEMBL1028295,Inhibition of histamine-induced shape change in BALB/c mouse BMMC by gated autofluorescence forward scatter,CHEMBL494678,CN1CCN(c2cc(-c3ccc(C#N)cc3)nc(N)n2)CC1,pKb,6.56,,=,,
BMMC,CHEMBL1273947,Inhibition of 5-lipoxygenase in BALB/c mouse BMMC assessed as LTC4 release after 20 mins by enzyme immunoassay,CHEMBL1269508,c1ccc(Nc2nc3ccccc3o2)cc1,IC50,8910.0,nM,=,,5.05
BMMC,CHEMBL1273947,Inhibition of 5-lipoxygenase in BALB/c mouse BMMC assessed as LTC4 release after 20 mins by enzyme immunoassay,CHEMBL1269619,CCc1ccc(Nc2nc3ccccc3o2)cc1,IC50,1210.0,nM,=,,5.92
BMMC,CHEMBL1273947,Inhibition of 5-lipoxygenase in BALB/c mouse BMMC assessed as LTC4 release after 20 mins by enzyme immunoassay,CHEMBL1269620,Clc1ccc2oc(Nc3ccccc3)nc2c1,IC50,4500.0,nM,=,,5.35
BMMC,CHEMBL1273947,Inhibition of 5-lipoxygenase in BALB/c mouse BMMC assessed as LTC4 release after 20 mins by enzyme immunoassay,CHEMBL1269621,CCc1ccc(Nc2nc3cc(Cl)ccc3o2)cc1,IC50,950.0,nM,=,,6.02
